"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
"Total"	"Anchorage Borough, AK"	"02020"			54	8474	6.4	4.8	8.3
	"Maricopa County, AZ"	"04013"	"2005"	"2005"	13	2282	5.7 (Unreliable)	3.0	9.7
	"Maricopa County, AZ"	"04013"	"2008"	"2008"	24	2491	9.6	6.2	14.3
	"Maricopa County, AZ"	"04013"	"2009"	"2009"	12	2412	5.0 (Unreliable)	2.6	8.7
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	13	2487	5.2 (Unreliable)	2.8	8.9
	"Maricopa County, AZ"	"04013"	"2011"	"2011"	12	2183	5.5 (Unreliable)	2.8	9.6
	"Maricopa County, AZ"	"04013"	"2012"	"2012"	14	2316	6.0 (Unreliable)	3.3	10.1
	"Maricopa County, AZ"	"04013"	"2014"	"2014"	10	2539	3.9 (Unreliable)	1.9	7.2
	"Maricopa County, AZ"	"04013"	"2015"	"2015"	11	2700	4.1 (Unreliable)	2.0	7.3
"Total"	"Maricopa County, AZ"	"04013"			173	36104	4.8	4.1	5.5
"Total"	"Pima County, AZ"	"04019"			17	6818	2.5 (Unreliable)	1.5	4.0
"Total"	"Benton County, AR"	"05007"			15	2307	6.5 (Unreliable)	3.6	10.7
"Total"	"Pulaski County, AR"	"05119"			11	2191	5.0 (Unreliable)	2.5	9.0
"Total"	"Washington County, AR"	"05143"			16	2879	5.6 (Unreliable)	3.2	9.0
	"Alameda County, CA"	"06001"	"1999"	"1999"	19	4385	4.3 (Unreliable)	2.6	6.8
	"Alameda County, CA"	"06001"	"2000"	"2000"	21	4526	4.6	2.9	7.1
	"Alameda County, CA"	"06001"	"2001"	"2001"	26	5681	4.6	3.0	6.7
	"Alameda County, CA"	"06001"	"2002"	"2002"	14	5711	2.5 (Unreliable)	1.3	4.1
	"Alameda County, CA"	"06001"	"2003"	"2003"	24	5807	4.1	2.6	6.1
	"Alameda County, CA"	"06001"	"2004"	"2004"	28	5648	5.0	3.3	7.2
	"Alameda County, CA"	"06001"	"2005"	"2005"	25	5588	4.5	2.9	6.6
	"Alameda County, CA"	"06001"	"2006"	"2006"	12	5420	2.2 (Unreliable)	1.1	3.9
	"Alameda County, CA"	"06001"	"2007"	"2007"	24	5554	4.3	2.8	6.4
	"Alameda County, CA"	"06001"	"2008"	"2008"	13	5883	2.2 (Unreliable)	1.2	3.8
	"Alameda County, CA"	"06001"	"2009"	"2009"	21	5642	3.7	2.3	5.7
	"Alameda County, CA"	"06001"	"2010"	"2010"	21	5642	3.7	2.3	5.7
	"Alameda County, CA"	"06001"	"2011"	"2011"	20	5155	3.9	2.4	6.0
	"Alameda County, CA"	"06001"	"2012"	"2012"	19	5327	3.6 (Unreliable)	2.1	5.6
	"Alameda County, CA"	"06001"	"2013"	"2013"	15	5864	2.6 (Unreliable)	1.4	4.2
	"Alameda County, CA"	"06001"	"2014"	"2014"	17	5554	3.1 (Unreliable)	1.8	4.9
	"Alameda County, CA"	"06001"	"2015"	"2015"	14	5611	2.5 (Unreliable)	1.4	4.2
"Total"	"Alameda County, CA"	"06001"			333	92998	3.6	3.2	4.0
"Total"	"Butte County, CA"	"06007"			15	2781	5.4 (Unreliable)	3.0	8.9
	"Contra Costa County, CA"	"06013"	"2001"	"2001"	10	1738	5.8 (Unreliable)	2.8	10.6
	"Contra Costa County, CA"	"06013"	"2009"	"2009"	11	2045	5.4 (Unreliable)	2.7	9.6
	"Contra Costa County, CA"	"06013"	"2011"	"2011"	13	1956	6.6 (Unreliable)	3.5	11.4
	"Contra Costa County, CA"	"06013"	"2012"	"2012"	10	1902	5.3 (Unreliable)	2.5	9.7
"Total"	"Contra Costa County, CA"	"06013"			118	31795	3.7	3.0	4.4
	"Fresno County, CA"	"06019"	"2003"	"2003"	11	1497	7.3 (Unreliable)	3.7	13.1
	"Fresno County, CA"	"06019"	"2004"	"2004"	11	1561	7.0 (Unreliable)	3.5	12.6
	"Fresno County, CA"	"06019"	"2007"	"2007"	11	1951	5.6 (Unreliable)	2.8	10.1
	"Fresno County, CA"	"06019"	"2008"	"2008"	13	2073	6.3 (Unreliable)	3.3	10.7
	"Fresno County, CA"	"06019"	"2009"	"2009"	12	1864	6.4 (Unreliable)	3.3	11.2
	"Fresno County, CA"	"06019"	"2011"	"2011"	13	1613	8.1 (Unreliable)	4.3	13.8
	"Fresno County, CA"	"06019"	"2012"	"2012"	10	1645	6.1 (Unreliable)	2.9	11.2
	"Fresno County, CA"	"06019"	"2013"	"2013"	13	1646	7.9 (Unreliable)	4.2	13.5
	"Fresno County, CA"	"06019"	"2014"	"2014"	15	1624	9.2 (Unreliable)	5.2	15.2
	"Fresno County, CA"	"06019"	"2015"	"2015"	11	1585	6.9 (Unreliable)	3.5	12.4
"Total"	"Fresno County, CA"	"06019"			159	27442	5.8	4.9	6.7
"Total"	"Kern County, CA"	"06029"			36	8968	4.0	2.8	5.6
	"Los Angeles County, CA"	"06037"	"1999"	"1999"	56	13870	4.0	3.0	5.2
	"Los Angeles County, CA"	"06037"	"2000"	"2000"	42	13887	3.0	2.2	4.1
	"Los Angeles County, CA"	"06037"	"2001"	"2001"	57	15640	3.6	2.8	4.7
	"Los Angeles County, CA"	"06037"	"2002"	"2002"	65	14707	4.4	3.4	5.6
	"Los Angeles County, CA"	"06037"	"2003"	"2003"	59	15037	3.9	3.0	5.1
	"Los Angeles County, CA"	"06037"	"2004"	"2004"	64	14781	4.3	3.3	5.5
	"Los Angeles County, CA"	"06037"	"2005"	"2005"	47	14982	3.1	2.3	4.2
	"Los Angeles County, CA"	"06037"	"2006"	"2006"	59	14282	4.1	3.1	5.3
	"Los Angeles County, CA"	"06037"	"2007"	"2007"	70	14595	4.8	3.7	6.1
	"Los Angeles County, CA"	"06037"	"2008"	"2008"	62	15544	4.0	3.1	5.1
	"Los Angeles County, CA"	"06037"	"2009"	"2009"	58	14502	4.0	3.0	5.2
	"Los Angeles County, CA"	"06037"	"2010"	"2010"	49	14598	3.4	2.5	4.4
	"Los Angeles County, CA"	"06037"	"2011"	"2011"	65	14516	4.5	3.5	5.7
	"Los Angeles County, CA"	"06037"	"2012"	"2012"	66	15904	4.1	3.2	5.3
	"Los Angeles County, CA"	"06037"	"2013"	"2013"	55	18788	2.9	2.2	3.8
	"Los Angeles County, CA"	"06037"	"2014"	"2014"	52	16545	3.1	2.3	4.1
	"Los Angeles County, CA"	"06037"	"2015"	"2015"	63	15855	4.0	3.1	5.1
"Total"	"Los Angeles County, CA"	"06037"			989	258033	3.8	3.6	4.1
"Total"	"Marin County, CA"	"06041"			10	2830	3.5 (Unreliable)	1.7	6.5
"Total"	"Merced County, CA"	"06047"			22	5441	4.0	2.5	6.1
"Total"	"Monterey County, CA"	"06053"			25	5637	4.4	2.9	6.5
	"Orange County, CA"	"06059"	"1999"	"1999"	27	5222	5.2	3.4	7.5
	"Orange County, CA"	"06059"	"2000"	"2000"	25	5349	4.7	3.0	6.9
	"Orange County, CA"	"06059"	"2001"	"2001"	18	6285	2.9 (Unreliable)	1.7	4.5
	"Orange County, CA"	"06059"	"2002"	"2002"	27	6054	4.5	2.9	6.5
	"Orange County, CA"	"06059"	"2003"	"2003"	28	6480	4.3	2.9	6.2
	"Orange County, CA"	"06059"	"2004"	"2004"	19	6729	2.8 (Unreliable)	1.7	4.4
	"Orange County, CA"	"06059"	"2005"	"2005"	25	6413	3.9	2.5	5.8
	"Orange County, CA"	"06059"	"2006"	"2006"	23	6539	3.5	2.2	5.3
	"Orange County, CA"	"06059"	"2007"	"2007"	27	6612	4.1	2.7	5.9
	"Orange County, CA"	"06059"	"2008"	"2008"	21	6981	3.0	1.9	4.6
	"Orange County, CA"	"06059"	"2009"	"2009"	25	6359	3.9	2.5	5.8
	"Orange County, CA"	"06059"	"2010"	"2010"	15	6464	2.3 (Unreliable)	1.3	3.8
	"Orange County, CA"	"06059"	"2011"	"2011"	21	5957	3.5	2.2	5.4
	"Orange County, CA"	"06059"	"2012"	"2012"	22	6373	3.5	2.2	5.2
	"Orange County, CA"	"06059"	"2013"	"2013"	18	6998	2.6 (Unreliable)	1.5	4.1
	"Orange County, CA"	"06059"	"2014"	"2014"	20	6654	3.0	1.8	4.6
	"Orange County, CA"	"06059"	"2015"	"2015"	18	6606	2.7 (Unreliable)	1.6	4.3
"Total"	"Orange County, CA"	"06059"			379	108075	3.5	3.2	3.9
"Total"	"Placer County, CA"	"06061"			25	4499	5.6	3.6	8.2
	"Riverside County, CA"	"06065"	"2002"	"2002"	11	979	11.2 (Unreliable)	5.6	20.1
	"Riverside County, CA"	"06065"	"2007"	"2007"	13	1771	7.3 (Unreliable)	3.9	12.6
	"Riverside County, CA"	"06065"	"2008"	"2008"	13	1876	6.9 (Unreliable)	3.7	11.8
"Total"	"Riverside County, CA"	"06065"			108	25824	4.2	3.4	5.0
	"Sacramento County, CA"	"06067"	"2000"	"2000"	17	2254	7.5 (Unreliable)	4.4	12.1
	"Sacramento County, CA"	"06067"	"2001"	"2001"	13	2753	4.7 (Unreliable)	2.5	8.1
	"Sacramento County, CA"	"06067"	"2002"	"2002"	13	2745	4.7 (Unreliable)	2.5	8.1
	"Sacramento County, CA"	"06067"	"2003"	"2003"	15	2968	5.1 (Unreliable)	2.8	8.3
	"Sacramento County, CA"	"06067"	"2004"	"2004"	15	3087	4.9 (Unreliable)	2.7	8.0
	"Sacramento County, CA"	"06067"	"2005"	"2005"	15	3253	4.6 (Unreliable)	2.6	7.6
	"Sacramento County, CA"	"06067"	"2006"	"2006"	17	3437	4.9 (Unreliable)	2.9	7.9
	"Sacramento County, CA"	"06067"	"2007"	"2007"	20	3553	5.6	3.4	8.7
	"Sacramento County, CA"	"06067"	"2008"	"2008"	17	3686	4.6 (Unreliable)	2.7	7.4
	"Sacramento County, CA"	"06067"	"2009"	"2009"	18	3501	5.1 (Unreliable)	3.0	8.1
	"Sacramento County, CA"	"06067"	"2010"	"2010"	18	3447	5.2 (Unreliable)	3.1	8.3
	"Sacramento County, CA"	"06067"	"2011"	"2011"	19	3195	5.9 (Unreliable)	3.6	9.3
	"Sacramento County, CA"	"06067"	"2012"	"2012"	16	3205	5.0 (Unreliable)	2.9	8.1
	"Sacramento County, CA"	"06067"	"2014"	"2014"	23	3358	6.8	4.3	10.3
	"Sacramento County, CA"	"06067"	"2015"	"2015"	14	3410	4.1 (Unreliable)	2.2	6.9
"Total"	"Sacramento County, CA"	"06067"			267	53343	5.0	4.4	5.6
	"San Bernardino County, CA"	"06071"	"2009"	"2009"	10	1967	5.1 (Unreliable)	2.4	9.3
	"San Bernardino County, CA"	"06071"	"2014"	"2014"	14	2024	6.9 (Unreliable)	3.8	11.6
"Total"	"San Bernardino County, CA"	"06071"			116	29272	4.0	3.2	4.7
