"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Calhoun County, AL"	"01015"	"2001"	"2001"	10	385	26.0 (Unreliable)	12.5	47.8
	"Dallas County, AL"	"01047"	"1999"	"1999"	10	478	20.9 (Unreliable)	10.0	38.5
	"Dallas County, AL"	"01047"	"2003"	"2003"	13	540	24.1 (Unreliable)	12.8	41.2
	"Jefferson County, AL"	"01073"	"1999"	"1999"	81	4098	19.8	15.7	24.6
	"Jefferson County, AL"	"01073"	"2000"	"2000"	82	4153	19.7	15.7	24.5
	"Jefferson County, AL"	"01073"	"2001"	"2001"	89	4276	20.8	16.7	25.6
	"Jefferson County, AL"	"01073"	"2002"	"2002"	66	4151	15.9	12.3	20.2
	"Jefferson County, AL"	"01073"	"2003"	"2003"	60	3966	15.1	11.5	19.5
	"Jefferson County, AL"	"01073"	"2004"	"2004"	67	4087	16.4	12.7	20.8
	"Jefferson County, AL"	"01073"	"2005"	"2005"	73	3951	18.5	14.5	23.2
	"Jefferson County, AL"	"01073"	"2006"	"2006"	80	4126	19.4	15.4	24.1
	"Jefferson County, AL"	"01073"	"2007"	"2007"	73	4316	16.9	13.3	21.3
	"Jefferson County, AL"	"01073"	"2008"	"2008"	76	4454	17.1	13.4	21.4
	"Jefferson County, AL"	"01073"	"2009"	"2009"	58	4413	13.1	10.0	17.0
	"Jefferson County, AL"	"01073"	"2010"	"2010"	71	4412	16.1	12.6	20.3
	"Jefferson County, AL"	"01073"	"2011"	"2011"	56	4077	13.7	10.4	17.8
	"Jefferson County, AL"	"01073"	"2012"	"2012"	85	4219	20.1	16.1	24.9
	"Jefferson County, AL"	"01073"	"2013"	"2013"	72	4164	17.3	13.5	21.8
	"Jefferson County, AL"	"01073"	"2014"	"2014"	70	4180	16.7	13.1	21.2
	"Jefferson County, AL"	"01073"	"2015"	"2015"	64	4264	15.0	11.6	19.2
	"Madison County, AL"	"01089"	"1999"	"1999"	14	1049	13.3 (Unreliable)	7.3	22.4
	"Madison County, AL"	"01089"	"2000"	"2000"	11	1068	10.3 (Unreliable)	5.1	18.4
	"Madison County, AL"	"01089"	"2001"	"2001"	19	1055	18.0 (Unreliable)	10.8	28.1
	"Madison County, AL"	"01089"	"2002"	"2002"	12	894	13.4 (Unreliable)	6.9	23.4
