"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Baldwin County, AL"	"01003"	"1999"	"1999"	12	1434	8.4 (Unreliable)	4.3	14.6
	"Baldwin County, AL"	"01003"	"2001"	"2001"	10	1625	6.2 (Unreliable)	3.0	11.3
	"Baldwin County, AL"	"01003"	"2002"	"2002"	10	1496	6.7 (Unreliable)	3.2	12.3
	"Baldwin County, AL"	"01003"	"2005"	"2005"	16	1779	9.0 (Unreliable)	5.1	14.6
	"Baldwin County, AL"	"01003"	"2008"	"2008"	14	2014	7.0 (Unreliable)	3.8	11.7
	"Baldwin County, AL"	"01003"	"2009"	"2009"	15	1860	8.1 (Unreliable)	4.5	13.3
	"Baldwin County, AL"	"01003"	"2011"	"2011"	10	1876	5.3 (Unreliable)	2.6	9.8
	"Baldwin County, AL"	"01003"	"2013"	"2013"	12	1837	6.5 (Unreliable)	3.4	11.4
	"Baldwin County, AL"	"01003"	"2014"	"2014"	11	1846	6.0 (Unreliable)	3.0	10.7
	"Calhoun County, AL"	"01015"	"2000"	"2000"	14	997	14.0 (Unreliable)	7.7	23.6
	"Calhoun County, AL"	"01015"	"2002"	"2002"	10	1082	9.2 (Unreliable)	4.4	17.0
	"Calhoun County, AL"	"01015"	"2009"	"2009"	14	996	14.1 (Unreliable)	7.7	23.6
	"Calhoun County, AL"	"01015"	"2014"	"2014"	10	941	10.6 (Unreliable)	5.1	19.5
	"Cullman County, AL"	"01043"	"2001"	"2001"	12	968	12.4 (Unreliable)	6.4	21.7
	"Cullman County, AL"	"01043"	"2002"	"2002"	10	948	10.5 (Unreliable)	5.1	19.4
	"Cullman County, AL"	"01043"	"2007"	"2007"	11	1028	10.7 (Unreliable)	5.3	19.1
	"Cullman County, AL"	"01043"	"2008"	"2008"	11	1027	10.7 (Unreliable)	5.3	19.2
	"DeKalb County, AL"	"01049"	"2001"	"2001"	10	908	11.0 (Unreliable)	5.3	20.3
	"DeKalb County, AL"	"01049"	"2004"	"2004"	12	989	12.1 (Unreliable)	6.3	21.2
	"Etowah County, AL"	"01055"	"1999"	"1999"	11	1033	10.6 (Unreliable)	5.3	19.1
	"Etowah County, AL"	"01055"	"2003"	"2003"	11	1021	10.8 (Unreliable)	5.4	19.3
