"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	27	3465	7.8
	"Baldwin County, AL"	"01003"	66	11107	5.9
	"Barbour County, AL"	"01005"	27	1800	15.0
	"Bibb County, AL"	"01007"	17	1278	Unreliable
	"Blount County, AL"	"01009"	23	3528	6.5
	"Bullock County, AL"	"01011"	10	909	Unreliable
	"Butler County, AL"	"01013"	14	1420	Unreliable
	"Calhoun County, AL"	"01015"	65	7442	8.7
	"Chambers County, AL"	"01017"	15	2019	Unreliable
	"Cherokee County, AL"	"01019"	10	1162	Unreliable
	"Chilton County, AL"	"01021"	33	2937	11.2
	"Clarke County, AL"	"01025"	17	1510	Unreliable
	"Coffee County, AL"	"01031"	34	3446	9.9
	"Colbert County, AL"	"01033"	28	3170	8.8
	"Covington County, AL"	"01039"	19	2258	Unreliable
	"Cullman County, AL"	"01043"	32	5112	6.3
	"Dale County, AL"	"01045"	26	3805	6.8
	"Dallas County, AL"	"01047"	24	3449	7.0
	"DeKalb County, AL"	"01049"	26	4973	5.2
	"Elmore County, AL"	"01051"	34	5118	6.6
	"Escambia County, AL"	"01053"	23	2535	9.1
	"Etowah County, AL"	"01055"	66	6333	10.4
	"Franklin County, AL"	"01059"	21	2384	8.8
	"Geneva County, AL"	"01061"	11	1587	Unreliable
	"Houston County, AL"	"01069"	56	6895	8.1
	"Jackson County, AL"	"01071"	27	2998	9.0
	"Jefferson County, AL"	"01073"	547	48281	11.3
	"Lauderdale County, AL"	"01077"	40	4980	8.0
	"Lawrence County, AL"	"01079"	15	1981	Unreliable
	"Lee County, AL"	"01081"	59	8093	7.3
	"Limestone County, AL"	"01083"	35	5014	7.0
	"Macon County, AL"	"01087"	16	1237	Unreliable
	"Madison County, AL"	"01089"	182	20983	8.7
	"Marion County, AL"	"01093"	20	1697	11.8
	"Marshall County, AL"	"01095"	69	7344	9.4
	"Mobile County, AL"	"01097"	244	30371	8.0
	"Montgomery County, AL"	"01101"	182	16913	10.8
	"Morgan County, AL"	"01103"	59	7725	7.6
	"Perry County, AL"	"01105"	10	766	Unreliable
	"Pickens County, AL"	"01107"	23	1213	19.0
	"Pike County, AL"	"01109"	15	2067	Unreliable
	"Randolph County, AL"	"01111"	12	1288	Unreliable
	"Russell County, AL"	"01113"	44	3225	13.6
	"St. Clair County, AL"	"01115"	43	5563	7.7
	"Shelby County, AL"	"01117"	75	12938	5.8
	"Talladega County, AL"	"01121"	66	4993	13.2
	"Tallapoosa County, AL"	"01123"	30	2566	11.7
	"Tuscaloosa County, AL"	"01125"	155	12418	12.5
	"Walker County, AL"	"01127"	46	4267	10.8
	"Winston County, AL"	"01133"	14	1333	Unreliable
	"Anchorage Borough, AK"	"02020"	127	23082	5.5
	"Bethel Census Area, AK"	"02050"	28	2176	12.9
	"Fairbanks North Star Borough, AK"	"02090"	27	8498	3.2
	"Juneau Borough, AK"	"02110"	10	1994	Unreliable
	"Kenai Peninsula Borough, AK"	"02122"	14	3388	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	32	6406	5.0
	"Nome Census Area, AK"	"02180"	12	1179	Unreliable
	"North Slope Borough, AK"	"02185"	10	916	Unreliable
	"Wade Hampton Census Area, AK"	"02270"	20	1174	17.0
	"Apache County, AZ"	"04001"	46	6313	7.3
	"Cochise County, AZ"	"04003"	69	9093	7.6
