"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Autauga County, AL"	"01001"	24	3118	7.7	4.9	11.5
	"Baldwin County, AL"	"01003"	65	11014	5.9	4.6	7.5
	"Bibb County, AL"	"01007"	17	1299	13.1	Suppressed	Suppressed
	"Blount County, AL"	"01009"	14	3382	4.1	Suppressed	Suppressed
	"Butler County, AL"	"01013"	11	1231	8.9	Suppressed	Suppressed
	"Calhoun County, AL"	"01015"	51	6751	7.6	5.6	9.9
	"Chambers County, AL"	"01017"	13	2037	6.4	Suppressed	Suppressed
	"Cherokee County, AL"	"01019"	11	1201	9.2	Suppressed	Suppressed
	"Chilton County, AL"	"01021"	21	2767	7.6	4.7	11.6
	"Clarke County, AL"	"01025"	11	1397	7.9	Suppressed	Suppressed
	"Coffee County, AL"	"01031"	24	3117	7.7	4.9	11.5
	"Colbert County, AL"	"01033"	29	3064	9.5	6.3	13.6
	"Covington County, AL"	"01039"	15	2249	6.7	Suppressed	Suppressed
	"Cullman County, AL"	"01043"	30	4892	6.1	4.1	8.8
	"Dale County, AL"	"01045"	17	3324	5.1	Suppressed	Suppressed
	"Dallas County, AL"	"01047"	19	2678	7.1	Suppressed	Suppressed
	"DeKalb County, AL"	"01049"	27	4155	6.5	4.3	9.5
	"Elmore County, AL"	"01051"	30	4765	6.3	4.2	9.0
	"Escambia County, AL"	"01053"	17	2202	7.7	Suppressed	Suppressed
	"Etowah County, AL"	"01055"	64	5876	10.9	8.4	13.9
	"Franklin County, AL"	"01059"	18	2038	8.8	Suppressed	Suppressed
	"Houston County, AL"	"01069"	53	6451	8.2	6.2	10.7
	"Jackson County, AL"	"01071"	31	2793	11.1	7.5	15.8
	"Jefferson County, AL"	"01073"	488	44300	11.0	10.0	12.0
	"Lauderdale County, AL"	"01077"	38	4683	8.1	5.7	11.1
	"Lawrence County, AL"	"01079"	12	1827	6.6	Suppressed	Suppressed
	"Lee County, AL"	"01081"	63	9050	7.0	5.3	8.9
	"Limestone County, AL"	"01083"	35	5024	7.0	4.9	9.7
	"Macon County, AL"	"01087"	16	971	16.5	Suppressed	Suppressed
	"Madison County, AL"	"01089"	161	20595	7.8	6.6	9.0
	"Marengo County, AL"	"01091"	14	1232	11.4	Suppressed	Suppressed
	"Marion County, AL"	"01093"	13	1540	8.4	Suppressed	Suppressed
	"Marshall County, AL"	"01095"	45	6432	7.0	5.1	9.4
	"Mobile County, AL"	"01097"	266	28041	9.5	8.3	10.6
	"Monroe County, AL"	"01099"	15	1165	12.9	Suppressed	Suppressed
