"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Baldwin County, AL"	"01003"	12	2344	5.1	Suppressed	Suppressed
	"Etowah County, AL"	"01055"	12	1214	9.9	Suppressed	Suppressed
	"Jefferson County, AL"	"01073"	92	8792	10.5	8.4	12.8
	"Lauderdale County, AL"	"01077"	13	957	13.6	Suppressed	Suppressed
	"Lee County, AL"	"01081"	15	1988	7.5	Suppressed	Suppressed
	"Limestone County, AL"	"01083"	10	1020	9.8	Suppressed	Suppressed
	"Madison County, AL"	"01089"	35	4159	8.4	5.9	11.7
	"Mobile County, AL"	"01097"	44	5663	7.8	5.6	10.4
	"Montgomery County, AL"	"01101"	34	3129	10.9	7.5	15.2
	"Morgan County, AL"	"01103"	13	1386	9.4	Suppressed	Suppressed
	"Russell County, AL"	"01113"	10	902	11.1	Suppressed	Suppressed
	"Shelby County, AL"	"01117"	14	2399	5.8	Suppressed	Suppressed
	"Tuscaloosa County, AL"	"01125"	22	2530	8.7	5.4	13.2
	"Anchorage Borough, AK"	"02020"	30	4589	6.5	4.4	9.3
	"Fairbanks North Star Borough, AK"	"02090"	13	1711	7.6	Suppressed	Suppressed
	"Cochise County, AZ"	"04003"	12	1570	7.6	Suppressed	Suppressed
	"Coconino County, AZ"	"04005"	10	1575	6.3	Suppressed	Suppressed
	"Maricopa County, AZ"	"04013"	291	54736	5.3	4.7	5.9
	"Mohave County, AZ"	"04015"	13	1852	7.0	Suppressed	Suppressed
	"Navajo County, AZ"	"04017"	13	1542	8.4	Suppressed	Suppressed
	"Pima County, AZ"	"04019"	48	11500	4.2	3.1	5.5
	"Pinal County, AZ"	"04021"	26	4451	5.8	3.8	8.6
	"Yavapai County, AZ"	"04025"	13	1876	6.9	Suppressed	Suppressed
	"Yuma County, AZ"	"04027"	24	3017	8.0	5.1	11.8
	"Benton County, AR"	"05007"	21	3614	5.8	3.6	8.9
	"Craighead County, AR"	"05031"	17	1581	10.8	Suppressed	Suppressed
	"Jefferson County, AR"	"05069"	11	900	12.2	Suppressed	Suppressed
	"Pulaski County, AR"	"05119"	46	5571	8.3	6.0	11.0
	"Sebastian County, AR"	"05131"	11	1738	6.3	Suppressed	Suppressed
	"Washington County, AR"	"05143"	16	3213	5.0	Suppressed	Suppressed
	"White County, AR"	"05145"	10	928	10.8	Suppressed	Suppressed
	"Alameda County, CA"	"06001"	75	19434	3.9	3.0	4.8
	"Contra Costa County, CA"	"06013"	42	12596	3.3	2.4	4.5
	"Fresno County, CA"	"06019"	116	15359	7.6	6.2	8.9
	"Humboldt County, CA"	"06023"	10	1441	6.9	Suppressed	Suppressed
	"Imperial County, CA"	"06025"	11	3168	3.5	Suppressed	Suppressed
	"Kern County, CA"	"06029"	94	13768	6.8	5.5	8.4
	"Kings County, CA"	"06031"	14	2274	6.2	Suppressed	Suppressed
	"Los Angeles County, CA"	"06037"	513	124641	4.1	3.8	4.5
	"Madera County, CA"	"06039"	17	2225	7.6	Suppressed	Suppressed
	"Merced County, CA"	"06047"	23	4104	5.6	3.6	8.4
	"Monterey County, CA"	"06053"	34	6420	5.3	3.7	7.4
	"Orange County, CA"	"06059"	114	37609	3.0	2.5	3.6
	"Placer County, CA"	"06061"	19	3747	5.1	Suppressed	Suppressed
	"Riverside County, CA"	"06065"	114	30491	3.7	3.1	4.4
	"Sacramento County, CA"	"06067"	97	19423	5.0	4.0	6.1
	"San Bernardino County, CA"	"06071"	167	30530	5.5	4.6	6.3
	"San Diego County, CA"	"06073"	161	43942	3.7	3.1	4.2
	"San Francisco County, CA"	"06075"	32	8972	3.6	2.4	5.0
	"San Joaquin County, CA"	"06077"	61	9983	6.1	4.7	7.8
	"San Luis Obispo County, CA"	"06079"	11	2668	4.1	Suppressed	Suppressed
	"San Mateo County, CA"	"06081"	32	9037	3.5	2.4	5.0
	"Santa Barbara County, CA"	"06083"	28	5673	4.9	3.3	7.1
	"Santa Clara County, CA"	"06085"	79	23393	3.4	2.7	4.2
	"Santa Cruz County, CA"	"06087"	14	2840	4.9	Suppressed	Suppressed
	"Solano County, CA"	"06095"	24	5131	4.7	3.0	7.0
	"Sonoma County, CA"	"06097"	20	5015	4.0	2.4	6.2
	"Stanislaus County, CA"	"06099"	42	7698	5.5	3.9	7.4
	"Tulare County, CA"	"06107"	46	7411	6.2	4.5	8.3
	"Ventura County, CA"	"06111"	50	10060	5.0	3.7	6.6
	"Yolo County, CA"	"06113"	20	2402	8.3	5.1	12.9
	"Yuba County, CA"	"06115"	12	1154	10.4	Suppressed	Suppressed
	"Adams County, CO"	"08001"	39	6761	5.8	4.1	7.9
	"Arapahoe County, CO"	"08005"	41	7960	5.2	3.7	7.0
	"Denver County, CO"	"08031"	55	10056	5.5	4.1	7.1
	"El Paso County, CO"	"08041"	49	9458	5.2	3.8	6.8
	"Jefferson County, CO"	"08059"	15	5882	2.6	Suppressed	Suppressed
	"Larimer County, CO"	"08069"	14	3485	4.0	Suppressed	Suppressed
	"Mesa County, CO"	"08077"	12	1739	6.9	Suppressed	Suppressed
	"Weld County, CO"	"08123"	20	4339	4.6	2.8	7.1
	"Fairfield County, CT"	"09001"	48	10118	4.7	3.5	6.3
	"Hartford County, CT"	"09003"	58	9252	6.3	4.8	8.1
	"Middlesex County, CT"	"09007"	11	1330	8.3	Suppressed	Suppressed
	"New Haven County, CT"	"09009"	54	8773	6.2	4.6	8.0
	"New London County, CT"	"09011"	14	2604	5.4	Suppressed	Suppressed
	"Kent County, DE"	"10001"	23	2186	10.5	6.7	15.8
	"New Castle County, DE"	"10003"	54	6663	8.1	6.1	10.6
	"Sussex County, DE"	"10005"	23	2317	9.9	6.3	14.9
	"District of Columbia, DC"	"11001"	82	9578	8.6	6.8	10.6
	"Alachua County, FL"	"12001"	20	2886	6.9	4.2	10.7
	"Bay County, FL"	"12005"	13	2396	5.4	Suppressed	Suppressed
	"Brevard County, FL"	"12009"	33	5246	6.3	4.3	8.8
	"Broward County, FL"	"12011"	120	22311	5.4	4.4	6.3
	"Citrus County, FL"	"12017"	10	1017	9.8	Suppressed	Suppressed
	"Clay County, FL"	"12019"	11	2228	4.9	Suppressed	Suppressed
	"Collier County, FL"	"12021"	22	3256	6.8	4.2	10.2
	"Duval County, FL"	"12031"	103	13039	7.9	6.4	9.4
	"Escambia County, FL"	"12033"	30	3902	7.7	5.2	11.0
	"Hernando County, FL"	"12053"	11	1601	6.9	Suppressed	Suppressed
	"Hillsborough County, FL"	"12057"	140	17568	8.0	6.6	9.3
	"Lake County, FL"	"12069"	27	3184	8.5	5.6	12.3
	"Lee County, FL"	"12071"	41	6777	6.0	4.3	8.2
	"Leon County, FL"	"12073"	22	3047	7.2	4.5	10.9
	"Manatee County, FL"	"12081"	20	3469	5.8	3.5	8.9
	"Marion County, FL"	"12083"	25	3584	7.0	4.5	10.3
	"Miami-Dade County, FL"	"12086"	158	32438	4.9	4.1	5.6
	"Okaloosa County, FL"	"12091"	15	2830	5.3	Suppressed	Suppressed
	"Orange County, FL"	"12095"	107	16715	6.4	5.2	7.6
	"Osceola County, FL"	"12097"	21	4183	5.0	3.1	7.7
	"Palm Beach County, FL"	"12099"	73	14872	4.9	3.8	6.2
	"Pasco County, FL"	"12101"	23	5105	4.5	2.9	6.8
	"Pinellas County, FL"	"12103"	56	8745	6.4	4.8	8.3
	"Polk County, FL"	"12105"	65	7483	8.7	6.7	11.1
	"St. Johns County, FL"	"12109"	10	2157	4.6	Suppressed	Suppressed
	"St. Lucie County, FL"	"12111"	18	3099	5.8	Suppressed	Suppressed
	"Sarasota County, FL"	"12115"	17	2907	5.8	Suppressed	Suppressed
	"Seminole County, FL"	"12117"	22	4555	4.8	3.0	7.3
	"Volusia County, FL"	"12127"	41	4939	8.3	6.0	11.3
	"Bartow County, GA"	"13015"	16	1304	12.3	Suppressed	Suppressed
	"Bibb County, GA"	"13021"	39	2315	16.8	12.0	23.0
	"Carroll County, GA"	"13045"	11	1522	7.2	Suppressed	Suppressed
	"Chatham County, GA"	"13051"	37	4149	8.9	6.3	12.3
	"Clayton County, GA"	"13063"	31	3804	8.1	5.5	11.6
	"Cobb County, GA"	"13067"	66	9658	6.8	5.3	8.7
	"Columbia County, GA"	"13073"	15	1662	9.0	Suppressed	Suppressed
	"Crisp County, GA"	"13081"	10	322	31.1	Suppressed	Suppressed
	"DeKalb County, GA"	"13089"	86	11095	7.8	6.2	9.6
	"Dougherty County, GA"	"13095"	16	1273	12.6	Suppressed	Suppressed
	"Douglas County, GA"	"13097"	17	1828	9.3	Suppressed	Suppressed
	"Effingham County, GA"	"13103"	11	754	14.6	Suppressed	Suppressed
	"Floyd County, GA"	"13115"	10	1230	8.1	Suppressed	Suppressed
	"Fulton County, GA"	"13121"	95	13579	7.0	5.7	8.6
	"Gwinnett County, GA"	"13135"	80	11519	6.9	5.5	8.6
	"Hall County, GA"	"13139"	13	2741	4.7	Suppressed	Suppressed
	"Henry County, GA"	"13151"	21	2591	8.1	5.0	12.4
	"Houston County, GA"	"13153"	14	2033	6.9	Suppressed	Suppressed
	"Liberty County, GA"	"13179"	16	1474	10.9	Suppressed	Suppressed
	"Lowndes County, GA"	"13185"	19	1710	11.1	Suppressed	Suppressed
	"Muscogee County, GA"	"13215"	36	3021	11.9	8.3	16.5
	"Paulding County, GA"	"13223"	14	1609	8.7	Suppressed	Suppressed
	"Richmond County, GA"	"13245"	38	3054	12.4	8.8	17.1
	"Rockdale County, GA"	"13247"	10	1028	9.7	Suppressed	Suppressed
	"Spalding County, GA"	"13255"	14	790	17.7	Suppressed	Suppressed
	"Hawaii County, HI"	"15001"	12	2369	5.1	Suppressed	Suppressed
	"Honolulu County, HI"	"15003"	75	13265	5.7	4.4	7.1
	"Maui County, HI"	"15009"	16	1898	8.4	Suppressed	Suppressed
	"Ada County, ID"	"16001"	22	5126	4.3	2.7	6.5
	"Bonneville County, ID"	"16019"	11	1969	5.6	Suppressed	Suppressed
	"Canyon County, ID"	"16027"	16	3175	5.0	Suppressed	Suppressed
	"Champaign County, IL"	"17019"	12	2399	5.0	Suppressed	Suppressed
	"Cook County, IL"	"17031"	480	68848	7.0	6.3	7.6
	"DuPage County, IL"	"17043"	33	10891	3.0	2.1	4.3
	"Kane County, IL"	"17089"	33	6688	4.9	3.4	6.9
	"Kendall County, IL"	"17093"	10	1624	6.2	Suppressed	Suppressed
	"Lake County, IL"	"17097"	36	7718	4.7	3.3	6.5
	"LaSalle County, IL"	"17099"	14	1288	10.9	Suppressed	Suppressed
	"McHenry County, IL"	"17111"	14	3266	4.3	Suppressed	Suppressed
	"McLean County, IL"	"17113"	19	2129	8.9	Suppressed	Suppressed
	"Macon County, IL"	"17115"	14	1372	10.2	Suppressed	Suppressed
	"Madison County, IL"	"17119"	21	3082	6.8	4.2	10.4
	"Peoria County, IL"	"17143"	15	2684	5.6	Suppressed	Suppressed
	"St. Clair County, IL"	"17163"	23	3422	6.7	4.3	10.1
	"Sangamon County, IL"	"17167"	15	2314	6.5	Suppressed	Suppressed
	"Will County, IL"	"17197"	33	7803	4.2	2.9	5.9
	"Winnebago County, IL"	"17201"	20	3621	5.5	3.4	8.5
	"Allen County, IN"	"18003"	41	5269	7.8	5.6	10.6
	"Bartholomew County, IN"	"18005"	15	1097	13.7	Suppressed	Suppressed
	"Clark County, IN"	"18019"	15	1492	10.1	Suppressed	Suppressed
	"Elkhart County, IN"	"18039"	28	3188	8.8	5.8	12.7
	"Hamilton County, IN"	"18057"	22	3867	5.7	3.6	8.6
	"Hendricks County, IN"	"18063"	14	1760	8.0	Suppressed	Suppressed
	"Johnson County, IN"	"18081"	16	1866	8.6	Suppressed	Suppressed
	"Lake County, IN"	"18089"	42	5925	7.1	5.1	9.6
	"La Porte County, IN"	"18091"	15	1337	11.2	Suppressed	Suppressed
	"Marion County, IN"	"18097"	116	14495	8.0	6.5	9.5
	"St. Joseph County, IN"	"18141"	26	3488	7.5	4.9	10.9
	"Tippecanoe County, IN"	"18157"	23	2387	9.6	6.1	14.5
	"Vanderburgh County, IN"	"18163"	11	2223	4.9	Suppressed	Suppressed
	"Vigo County, IN"	"18167"	10	1283	7.8	Suppressed	Suppressed
	"Linn County, IA"	"19113"	15	2855	5.3	Suppressed	Suppressed
	"Polk County, IA"	"19153"	41	7023	5.8	4.2	7.9
	"Johnson County, KS"	"20091"	36	7541	4.8	3.3	6.6
	"Sedgwick County, KS"	"20173"	41	7291	5.6	4.0	7.6
	"Shawnee County, KS"	"20177"	18	2276	7.9	Suppressed	Suppressed
	"Wyandotte County, KS"	"20209"	21	2762	7.6	4.7	11.6
	"Boone County, KY"	"21015"	13	1670	7.8	Suppressed	Suppressed
	"Fayette County, KY"	"21067"	24	4044	5.9	3.8	8.8
	"Henderson County, KY"	"21101"	10	572	17.5	Suppressed	Suppressed
	"Jefferson County, KY"	"21111"	66	10147	6.5	5.0	8.3
	"Kenton County, KY"	"21117"	28	2319	12.1	8.0	17.5
	"Bossier Parish, LA"	"22015"	14	1881	7.4	Suppressed	Suppressed
	"Caddo Parish, LA"	"22017"	38	3570	10.6	7.5	14.6
	"Calcasieu Parish, LA"	"22019"	15	2877	5.2	Suppressed	Suppressed
	"East Baton Rouge Parish, LA"	"22033"	83	6212	13.4	10.6	16.6
	"Jefferson Parish, LA"	"22051"	38	6082	6.2	4.4	8.6
	"Lafayette Parish, LA"	"22055"	21	3505	6.0	3.7	9.2
	"Lafourche Parish, LA"	"22057"	13	1336	9.7	Suppressed	Suppressed
	"Livingston Parish, LA"	"22063"	14	1905	7.3	Suppressed	Suppressed
	"Orleans Parish, LA"	"22071"	33	5068	6.5	4.5	9.1
	"Ouachita Parish, LA"	"22073"	15	2266	6.6	Suppressed	Suppressed
	"St. Landry Parish, LA"	"22097"	16	1367	11.7	Suppressed	Suppressed
	"St. Tammany Parish, LA"	"22103"	24	3013	8.0	5.1	11.9
	"Tangipahoa Parish, LA"	"22105"	17	1986	8.6	Suppressed	Suppressed
	"Androscoggin County, ME"	"23001"	11	1267	8.7	Suppressed	Suppressed
	"Cumberland County, ME"	"23005"	16	2722	5.9	Suppressed	Suppressed
	"Penobscot County, ME"	"23019"	16	1429	11.2	Suppressed	Suppressed
	"Anne Arundel County, MD"	"24003"	37	6936	5.3	3.8	7.4
	"Baltimore County, MD"	"24005"	61	9991	6.1	4.7	7.8
	"Frederick County, MD"	"24021"	11	2824	3.9	Suppressed	Suppressed
	"Howard County, MD"	"24027"	27	3564	7.6	5.0	11.0
	"Montgomery County, MD"	"24031"	71	13203	5.4	4.2	6.8
	"Prince George's County, MD"	"24033"	110	12321	8.9	7.3	10.6
	"St. Mary's County, MD"	"24037"	12	1443	8.3	Suppressed	Suppressed
	"Washington County, MD"	"24043"	13	1703	7.6	Suppressed	Suppressed
	"Baltimore city, MD"	"24510"	69	8660	8.0	6.2	10.1
	"Barnstable County, MA"	"25001"	13	1475	8.8	Suppressed	Suppressed
	"Bristol County, MA"	"25005"	17	5676	3.0	Suppressed	Suppressed
	"Essex County, MA"	"25009"	41	8544	4.8	3.4	6.5
	"Hampden County, MA"	"25013"	29	5134	5.6	3.8	8.1
	"Middlesex County, MA"	"25017"	53	17304	3.1	2.3	4.0
	"Norfolk County, MA"	"25021"	30	7206	4.2	2.8	5.9
	"Plymouth County, MA"	"25023"	11	5251	2.1	Suppressed	Suppressed
