"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Jefferson County, AL"	"01073"	"2008"	"2008"	10	849	11.8 (Unreliable)	5.6	21.7
	"Cochise County, AZ"	"04003"	"2003"	"2003"	11	805	13.7 (Unreliable)	6.8	24.4
	"Cochise County, AZ"	"04003"	"2005"	"2005"	10	817	12.2 (Unreliable)	5.9	22.5
	"Cochise County, AZ"	"04003"	"2007"	"2007"	10	826	12.1 (Unreliable)	5.8	22.3
	"Cochise County, AZ"	"04003"	"2010"	"2010"	11	797	13.8 (Unreliable)	6.9	24.7
	"Maricopa County, AZ"	"04013"	"1999"	"1999"	180	20186	8.9	7.6	10.2
	"Maricopa County, AZ"	"04013"	"2000"	"2000"	154	20541	7.5	6.3	8.7
	"Maricopa County, AZ"	"04013"	"2001"	"2001"	165	23722	7.0	5.9	8.0
	"Maricopa County, AZ"	"04013"	"2002"	"2002"	167	24026	7.0	5.9	8.0
	"Maricopa County, AZ"	"04013"	"2003"	"2003"	194	25123	7.7	6.6	8.8
	"Maricopa County, AZ"	"04013"	"2004"	"2004"	213	25642	8.3	7.2	9.4
	"Maricopa County, AZ"	"04013"	"2005"	"2005"	190	26762	7.1	6.1	8.1
	"Maricopa County, AZ"	"04013"	"2006"	"2006"	205	27390	7.5	6.5	8.5
	"Maricopa County, AZ"	"04013"	"2007"	"2007"	230	27802	8.3	7.2	9.3
	"Maricopa County, AZ"	"04013"	"2008"	"2008"	176	27288	6.4	5.5	7.4
	"Maricopa County, AZ"	"04013"	"2009"	"2009"	133	24117	5.5	4.6	6.5
	"Maricopa County, AZ"	"04013"	"2010"	"2010"	154	24936	6.2	5.2	7.2
	"Maricopa County, AZ"	"04013"	"2011"	"2011"	153	23109	6.6	5.6	7.7
	"Maricopa County, AZ"	"04013"	"2012"	"2012"	157	23313	6.7	5.7	7.8
	"Maricopa County, AZ"	"04013"	"2013"	"2013"	127	23654	5.4	4.4	6.3
	"Maricopa County, AZ"	"04013"	"2014"	"2014"	158	24308	6.5	5.5	7.5
	"Maricopa County, AZ"	"04013"	"2015"	"2015"	121	24457	4.9	4.1	5.8
	"Pima County, AZ"	"04019"	"1999"	"1999"	32	5509	5.8	4.0	8.2
	"Pima County, AZ"	"04019"	"2000"	"2000"	33	5473	6.0	4.2	8.5
	"Pima County, AZ"	"04019"	"2001"	"2001"	45	5881	7.7	5.6	10.2
	"Pima County, AZ"	"04019"	"2002"	"2002"	49	5885	8.3	6.2	11.0
	"Pima County, AZ"	"04019"	"2003"	"2003"	50	6118	8.2	6.1	10.8
	"Pima County, AZ"	"04019"	"2004"	"2004"	55	6286	8.7	6.6	11.4
	"Pima County, AZ"	"04019"	"2005"	"2005"	66	6401	10.3	8.0	13.1
	"Pima County, AZ"	"04019"	"2006"	"2006"	64	6404	10.0	7.7	12.8
	"Pima County, AZ"	"04019"	"2007"	"2007"	54	6628	8.1	6.1	10.6
	"Pima County, AZ"	"04019"	"2008"	"2008"	48	6535	7.3	5.4	9.7
	"Pima County, AZ"	"04019"	"2009"	"2009"	49	6058	8.1	6.0	10.7
	"Pima County, AZ"	"04019"	"2010"	"2010"	45	6255	7.2	5.2	9.6
	"Pima County, AZ"	"04019"	"2011"	"2011"	30	5847	5.1	3.5	7.3
	"Pima County, AZ"	"04019"	"2012"	"2012"	35	5680	6.2	4.3	8.6
	"Pima County, AZ"	"04019"	"2013"	"2013"	30	5783	5.2	3.5	7.4
	"Pima County, AZ"	"04019"	"2014"	"2014"	33	5937	5.6	3.8	7.8
	"Pima County, AZ"	"04019"	"2015"	"2015"	28	5905	4.7	3.2	6.9
	"Pinal County, AZ"	"04021"	"2004"	"2004"	11	1233	8.9 (Unreliable)	4.5	16.0
	"Pinal County, AZ"	"04021"	"2005"	"2005"	14	1505	9.3 (Unreliable)	5.1	15.6
	"Pinal County, AZ"	"04021"	"2006"	"2006"	13	1687	7.7 (Unreliable)	4.1	13.2
	"Pinal County, AZ"	"04021"	"2007"	"2007"	14	1876	7.5 (Unreliable)	4.1	12.5
	"Pinal County, AZ"	"04021"	"2008"	"2008"	14	2115	6.6 (Unreliable)	3.6	11.1
	"Pinal County, AZ"	"04021"	"2009"	"2009"	19	2138	8.9 (Unreliable)	5.4	13.9
	"Pinal County, AZ"	"04021"	"2011"	"2011"	12	1863	6.4 (Unreliable)	3.3	11.3
	"Pinal County, AZ"	"04021"	"2015"	"2015"	14	1733	8.1 (Unreliable)	4.4	13.6
	"Yuma County, AZ"	"04027"	"1999"	"1999"	15	1830	8.2 (Unreliable)	4.6	13.5
	"Yuma County, AZ"	"04027"	"2000"	"2000"	13	1838	7.1 (Unreliable)	3.8	12.1
	"Yuma County, AZ"	"04027"	"2001"	"2001"	22	2100	10.5	6.6	15.9
	"Yuma County, AZ"	"04027"	"2003"	"2003"	17	2177	7.8 (Unreliable)	4.5	12.5
	"Yuma County, AZ"	"04027"	"2004"	"2004"	12	2261	5.3 (Unreliable)	2.7	9.3
	"Yuma County, AZ"	"04027"	"2005"	"2005"	11	2360	4.7 (Unreliable)	2.3	8.3
	"Yuma County, AZ"	"04027"	"2006"	"2006"	11	2253	4.9 (Unreliable)	2.4	8.7
