"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval
	"Baldwin County, AL"	"01003"	"1999"	"1999"	20	1674	11.9	7.3	18.5
	"Baldwin County, AL"	"01003"	"2000"	"2000"	11	1697	Unreliable	3.2	11.6
	"Baldwin County, AL"	"01003"	"2001"	"2001"	13	1894	Unreliable	3.7	11.7
	"Baldwin County, AL"	"01003"	"2002"	"2002"	15	1757	Unreliable	4.8	14.1
	"Baldwin County, AL"	"01003"	"2003"	"2003"	12	1810	Unreliable	3.4	11.6
	"Baldwin County, AL"	"01003"	"2004"	"2004"	12	1872	Unreliable	3.3	11.2
	"Baldwin County, AL"	"01003"	"2005"	"2005"	19	2055	Unreliable	5.6	14.4
	"Baldwin County, AL"	"01003"	"2006"	"2006"	11	2250	Unreliable	2.4	8.7
	"Baldwin County, AL"	"01003"	"2007"	"2007"	11	2329	Unreliable	2.4	8.5
	"Baldwin County, AL"	"01003"	"2008"	"2008"	16	2321	Unreliable	3.9	11.2
	"Baldwin County, AL"	"01003"	"2009"	"2009"	19	2201	Unreliable	5.2	13.5
	"Baldwin County, AL"	"01003"	"2011"	"2011"	14	2122	Unreliable	3.6	11.1
	"Baldwin County, AL"	"01003"	"2013"	"2013"	18	2214	Unreliable	4.8	12.8
	"Baldwin County, AL"	"01003"	"2014"	"2014"	14	2189	Unreliable	3.5	10.7
	"Baldwin County, AL"	"01003"	"2015"	"2015"	12	2262	Unreliable	2.7	9.3
	"Calhoun County, AL"	"01015"	"1999"	"1999"	10	1374	Unreliable	3.5	13.4
	"Calhoun County, AL"	"01015"	"2000"	"2000"	19	1327	Unreliable	8.6	22.4
	"Calhoun County, AL"	"01015"	"2001"	"2001"	15	1519	Unreliable	5.5	16.3
	"Calhoun County, AL"	"01015"	"2002"	"2002"	14	1441	Unreliable	5.3	16.3
	"Calhoun County, AL"	"01015"	"2003"	"2003"	12	1372	Unreliable	4.5	15.3
	"Calhoun County, AL"	"01015"	"2005"	"2005"	13	1462	Unreliable	4.7	15.2
	"Calhoun County, AL"	"01015"	"2006"	"2006"	10	1437	Unreliable	3.3	12.8
	"Calhoun County, AL"	"01015"	"2007"	"2007"	11	1460	Unreliable	3.8	13.5
	"Calhoun County, AL"	"01015"	"2008"	"2008"	13	1484	Unreliable	4.7	15.0
	"Calhoun County, AL"	"01015"	"2009"	"2009"	17	1400	Unreliable	7.1	19.4
	"Calhoun County, AL"	"01015"	"2010"	"2010"	14	1377	Unreliable	5.6	17.1
	"Calhoun County, AL"	"01015"	"2014"	"2014"	19	1285	Unreliable	8.9	23.1
	"Cullman County, AL"	"01043"	"2001"	"2001"	12	989	Unreliable	6.3	21.2
	"Cullman County, AL"	"01043"	"2002"	"2002"	10	965	Unreliable	5.0	19.1
	"Cullman County, AL"	"01043"	"2007"	"2007"	11	1052	Unreliable	5.2	18.7
	"Cullman County, AL"	"01043"	"2008"	"2008"	11	1051	Unreliable	5.2	18.7
	"Dale County, AL"	"01045"	"2009"	"2009"	10	733	Unreliable	6.5	25.1
	"Dallas County, AL"	"01047"	"1999"	"1999"	12	634	Unreliable	9.8	33.1
	"Dallas County, AL"	"01047"	"2003"	"2003"	14	696	Unreliable	11.0	33.7
	"Dallas County, AL"	"01047"	"2008"	"2008"	10	710	Unreliable	6.8	25.9
	"DeKalb County, AL"	"01049"	"2001"	"2001"	10	941	Unreliable	5.1	19.5
	"DeKalb County, AL"	"01049"	"2004"	"2004"	12	1031	Unreliable	6.0	20.3
	"Elmore County, AL"	"01051"	"2000"	"2000"	10	878	Unreliable	5.5	20.9
	"Elmore County, AL"	"01051"	"2003"	"2003"	10	912	Unreliable	5.3	20.2
	"Etowah County, AL"	"01055"	"1999"	"1999"	12	1279	Unreliable	4.8	16.4
	"Etowah County, AL"	"01055"	"2000"	"2000"	11	1281	Unreliable	4.3	15.4
	"Etowah County, AL"	"01055"	"2001"	"2001"	14	1381	Unreliable	5.5	17.0
	"Etowah County, AL"	"01055"	"2003"	"2003"	14	1258	Unreliable	6.1	18.7
	"Etowah County, AL"	"01055"	"2005"	"2005"	11	1298	Unreliable	4.2	15.2
	"Etowah County, AL"	"01055"	"2006"	"2006"	12	1317	Unreliable	4.7	15.9
	"Etowah County, AL"	"01055"	"2007"	"2007"	13	1371	Unreliable	5.0	16.2
	"Etowah County, AL"	"01055"	"2008"	"2008"	19	1338	Unreliable	8.5	22.2
	"Etowah County, AL"	"01055"	"2009"	"2009"	10	1326	Unreliable	3.6	13.9
	"Etowah County, AL"	"01055"	"2010"	"2010"	12	1283	Unreliable	4.8	16.3
	"Etowah County, AL"	"01055"	"2011"	"2011"	22	1222	18.0	11.3	27.3
	"Etowah County, AL"	"01055"	"2013"	"2013"	14	1148	Unreliable	6.7	20.5
	"Etowah County, AL"	"01055"	"2014"	"2014"	10	1135	Unreliable	4.2	16.2
	"Etowah County, AL"	"01055"	"2015"	"2015"	12	1157	Unreliable	5.4	18.1
	"Houston County, AL"	"01069"	"1999"	"1999"	11	1248	Unreliable	4.4	15.8
	"Houston County, AL"	"01069"	"2000"	"2000"	12	1256	Unreliable	4.9	16.7
	"Houston County, AL"	"01069"	"2002"	"2002"	14	1179	Unreliable	6.5	19.9
	"Houston County, AL"	"01069"	"2003"	"2003"	12	1273	Unreliable	4.9	16.5
	"Houston County, AL"	"01069"	"2004"	"2004"	11	1331	Unreliable	4.1	14.8
	"Houston County, AL"	"01069"	"2005"	"2005"	10	1233	Unreliable	3.9	14.9
	"Houston County, AL"	"01069"	"2006"	"2006"	11	1324	Unreliable	4.1	14.9
	"Houston County, AL"	"01069"	"2007"	"2007"	13	1372	Unreliable	5.0	16.2
	"Houston County, AL"	"01069"	"2008"	"2008"	11	1352	Unreliable	4.1	14.6
	"Houston County, AL"	"01069"	"2009"	"2009"	14	1373	Unreliable	5.6	17.1
	"Houston County, AL"	"01069"	"2011"	"2011"	11	1342	Unreliable	4.1	14.7
	"Houston County, AL"	"01069"	"2012"	"2012"	16	1362	Unreliable	6.7	19.1
	"Houston County, AL"	"01069"	"2013"	"2013"	11	1323	Unreliable	4.2	14.9
	"Jackson County, AL"	"01071"	"2013"	"2013"	11	589	Unreliable	9.3	33.4
	"Jefferson County, AL"	"01073"	"1999"	"1999"	114	8769	13.0	10.6	15.4
	"Jefferson County, AL"	"01073"	"2000"	"2000"	115	8760	13.1	10.7	15.5
	"Jefferson County, AL"	"01073"	"2001"	"2001"	120	9226	13.0	10.7	15.3
	"Jefferson County, AL"	"01073"	"2002"	"2002"	96	8834	10.9	8.8	13.3
	"Jefferson County, AL"	"01073"	"2003"	"2003"	95	8728	10.9	8.8	13.3
	"Jefferson County, AL"	"01073"	"2004"	"2004"	91	8786	10.4	8.3	12.7
	"Jefferson County, AL"	"01073"	"2005"	"2005"	112	8799	12.7	10.4	15.1
	"Jefferson County, AL"	"01073"	"2006"	"2006"	111	9003	12.3	10.0	14.6
	"Jefferson County, AL"	"01073"	"2007"	"2007"	121	9267	13.1	10.7	15.4
	"Jefferson County, AL"	"01073"	"2008"	"2008"	127	9323	13.6	11.3	16.0
	"Jefferson County, AL"	"01073"	"2009"	"2009"	81	9050	9.0	7.1	11.1
	"Jefferson County, AL"	"01073"	"2010"	"2010"	107	8924	12.0	9.7	14.3
	"Jefferson County, AL"	"01073"	"2011"	"2011"	89	9398	9.5	7.6	11.7
	"Jefferson County, AL"	"01073"	"2012"	"2012"	104	9782	10.6	8.6	12.7
	"Jefferson County, AL"	"01073"	"2013"	"2013"	109	8765	12.4	10.1	14.8
	"Jefferson County, AL"	"01073"	"2014"	"2014"	94	8754	10.7	8.7	13.1
	"Jefferson County, AL"	"01073"	"2015"	"2015"	92	8594	10.7	8.6	13.1
	"Lauderdale County, AL"	"01077"	"2010"	"2010"	12	990	Unreliable	6.3	21.2
	"Lauderdale County, AL"	"01077"	"2015"	"2015"	13	949	Unreliable	7.3	23.4
	"Lee County, AL"	"01081"	"1999"	"1999"	14	1425	Unreliable	5.4	16.5
	"Lee County, AL"	"01081"	"2000"	"2000"	15	1456	Unreliable	5.8	17.0
	"Lee County, AL"	"01081"	"2001"	"2001"	12	1365	Unreliable	4.5	15.4
	"Lee County, AL"	"01081"	"2003"	"2003"	12	1424	Unreliable	4.4	14.7
	"Lee County, AL"	"01081"	"2005"	"2005"	17	1515	Unreliable	6.5	18.0
	"Lee County, AL"	"01081"	"2006"	"2006"	17	1645	Unreliable	6.0	16.5
	"Lee County, AL"	"01081"	"2007"	"2007"	13	1757	Unreliable	3.9	12.7
	"Lee County, AL"	"01081"	"2009"	"2009"	10	1821	Unreliable	2.6	10.1
	"Lee County, AL"	"01081"	"2010"	"2010"	10	1786	Unreliable	2.7	10.3
	"Lee County, AL"	"01081"	"2012"	"2012"	11	1454	Unreliable	3.8	13.5
	"Lee County, AL"	"01081"	"2013"	"2013"	12	1673	Unreliable	3.7	12.5
	"Lee County, AL"	"01081"	"2014"	"2014"	16	1834	Unreliable	5.0	14.2
	"Lee County, AL"	"01081"	"2015"	"2015"	15	1901	Unreliable	4.4	13.0
	"Limestone County, AL"	"01083"	"2007"	"2007"	10	1048	Unreliable	4.6	17.5
	"Limestone County, AL"	"01083"	"2015"	"2015"	10	1010	Unreliable	4.7	18.2
	"Madison County, AL"	"01089"	"1999"	"1999"	28	3657	7.7	5.1	11.1
	"Madison County, AL"	"01089"	"2000"	"2000"	21	3627	5.8	3.6	8.9
	"Madison County, AL"	"01089"	"2001"	"2001"	37	3684	10.0	7.1	13.8
	"Madison County, AL"	"01089"	"2002"	"2002"	32	3471	9.2	6.3	13.0
	"Madison County, AL"	"01089"	"2003"	"2003"	28	3603	7.8	5.2	11.2
	"Madison County, AL"	"01089"	"2004"	"2004"	31	3579	8.7	5.9	12.3
	"Madison County, AL"	"01089"	"2005"	"2005"	22	3761	5.8	3.7	8.9
	"Madison County, AL"	"01089"	"2006"	"2006"	42	3844	10.9	7.9	14.8
	"Madison County, AL"	"01089"	"2007"	"2007"	28	4042	6.9	4.6	10.0
	"Madison County, AL"	"01089"	"2008"	"2008"	47	4250	11.1	8.1	14.7
	"Madison County, AL"	"01089"	"2009"	"2009"	37	4150	8.9	6.3	12.3
	"Madison County, AL"	"01089"	"2010"	"2010"	28	4096	6.8	4.5	9.9
	"Madison County, AL"	"01089"	"2011"	"2011"	29	4126	7.0	4.7	10.1
	"Madison County, AL"	"01089"	"2012"	"2012"	24	4157	5.8	3.7	8.6
	"Madison County, AL"	"01089"	"2013"	"2013"	37	4077	9.1	6.4	12.5
	"Madison County, AL"	"01089"	"2014"	"2014"	36	4019	9.0	6.3	12.4
	"Madison County, AL"	"01089"	"2015"	"2015"	35	4173	8.4	5.8	11.7
	"Marshall County, AL"	"01095"	"1999"	"1999"	12	1055	Unreliable	5.9	19.9
	"Marshall County, AL"	"01095"	"2000"	"2000"	10	1066	Unreliable	4.5	17.3
	"Marshall County, AL"	"01095"	"2001"	"2001"	12	1175	Unreliable	5.3	17.8
	"Marshall County, AL"	"01095"	"2003"	"2003"	19	1262	Unreliable	9.1	23.5
	"Marshall County, AL"	"01095"	"2004"	"2004"	14	1319	Unreliable	5.8	17.8
	"Marshall County, AL"	"01095"	"2005"	"2005"	11	1342	Unreliable	4.1	14.7
	"Marshall County, AL"	"01095"	"2006"	"2006"	16	1316	Unreliable	6.9	19.7
	"Marshall County, AL"	"01095"	"2007"	"2007"	14	1357	Unreliable	5.6	17.3
	"Marshall County, AL"	"01095"	"2009"	"2009"	11	1239	Unreliable	4.4	15.9
	"Marshall County, AL"	"01095"	"2010"	"2010"	20	1221	16.4	10.0	25.3
	"Marshall County, AL"	"01095"	"2013"	"2013"	14	1288	Unreliable	5.9	18.2
	"Marshall County, AL"	"01095"	"2014"	"2014"	10	1200	Unreliable	4.0	15.3
	"Mobile County, AL"	"01097"	"1999"	"1999"	65	5925	11.0	8.5	14.0
	"Mobile County, AL"	"01097"	"2000"	"2000"	68	5913	11.5	8.9	14.6
	"Mobile County, AL"	"01097"	"2001"	"2001"	60	5960	10.1	7.7	13.0
	"Mobile County, AL"	"01097"	"2002"	"2002"	60	5847	10.3	7.8	13.2
