GEOID,NAME,population,median_household_income,households,households_in_poverty,black_population,latino_population,pc_black_population,pc_latino_population,pc_households_in_poverty,county,state,infant_mortality_rate
1001,"Autauga County, Alabama",53155,53255,19718,2232,9676,1233,18.2,2.32,11.32,Autauga County, Alabama,7.8
1003,"Baldwin County, Alabama",175791,50147,69476,7658,17528,6848,9.97,3.9,11.02,Baldwin County, Alabama,5.9
1005,"Barbour County, Alabama",27699,33219,9795,2477,13124,1273,47.38,4.6,25.29,Barbour County, Alabama,15
1007,"Bibb County, Alabama",22610,41770,7441,982,3480,134,15.39,0.59,13.2,Bibb County, Alabama,
1009,"Blount County, Alabama",56692,45549,20605,2786,937,4246,1.65,7.49,13.52,Blount County, Alabama,6.5
1011,"Bullock County, Alabama",10923,31602,3732,832,8199,180,75.06,1.65,22.29,Bullock County, Alabama,
1013,"Butler County, Alabama",20895,30659,8019,1882,9088,58,43.49,0.28,23.47,Butler County, Alabama,
1015,"Calhoun County, Alabama",117149,38407,46421,9068,24744,3555,21.12,3.03,19.53,Calhoun County, Alabama,8.7
1017,"Chambers County, Alabama",34579,31467,13681,2775,13639,524,39.44,1.52,20.28,Chambers County, Alabama,
1019,"Cherokee County, Alabama",25700,40690,11352,1900,1269,321,4.94,1.25,16.74,Cherokee County, Alabama,
1021,"Chilton County, Alabama",43121,39486,16563,2994,4444,2806,10.31,6.51,18.08,Chilton County, Alabama,11.2
1023,"Choctaw County, Alabama",14111,31076,5296,1108,6096,52,43.2,0.37,20.92,Choctaw County, Alabama,
1025,"Clarke County, Alabama",26255,27439,9144,2651,11098,238,42.27,0.91,28.99,Clarke County, Alabama,
1027,"Clay County, Alabama",14040,35595,5851,1256,2243,360,15.98,2.56,21.47,Clay County, Alabama,
1029,"Cleburne County, Alabama",14823,36077,5397,962,667,214,4.5,1.44,17.82,Cleburne County, Alabama,
1031,"Coffee County, Alabama",48349,42253,18928,3110,8632,2712,17.85,5.61,16.43,Coffee County, Alabama,9.9
